prices,market_caps,total_volumes
"[1522800000000, 415.7162339703384]","[1522800000000, 40989129292.88682]","[1522800000000, 938277656.037438]"
"[1522886400000, 380.28195959120734]","[1522886400000, 37503095784.24193]","[1522886400000, 888566484.4804863]"
"[1522972800000, 384.46448544618835]","[1522972800000, 37923466118.640205]","[1522972800000, 767721856.0504649]"
"[1523059200000, 369.9138976693199]","[1523059200000, 36495759521.398056]","[1523059200000, 590720199.8519591]"
"[1523145600000, 383.44636088273523]","[1523145600000, 37838661360.00252]","[1523145600000, 549082514.9320759]"
"[1523232000000, 396.98175550697044]","[1523232000000, 39182417250.92415]","[1523232000000, 565597670.5997823]"
"[1523318400000, 398.77335502107474]","[1523318400000, 39367328706.210175]","[1523318400000, 1095742137.015535]"
"[1523404800000, 412.6893456266917]","[1523404800000, 40749602575.92843]","[1523404800000, 687260482.4501439]"
"[1523491200000, 427.3849460078481]","[1523491200000, 42209337332.354004]","[1523491200000, 816313720.2347212]"
"[1523577600000, 488.60548934434905]","[1523577600000, 48265439663.55072]","[1523577600000, 1871680188.8730233]"
"[1523664000000, 488.99218126708564]","[1523664000000, 48313044128.328636]","[1523664000000, 1771917382.798235]"
"[1523750400000, 495.11291363236046]","[1523750400000, 48928578121.79471]","[1523750400000, 960941082.4787031]"
"[1523836800000, 525.5274445398754]","[1523836800000, 51944970387.794846]","[1523836800000, 1113471501.5870776]"
"[1523923200000, 507.11031309582995]","[1523923200000, 50134949937.02363]","[1523923200000, 952394918.7009709]"
"[1524009600000, 498.46700764950907]","[1524009600000, 49290625426.76034]","[1524009600000, 834810907.6434356]"
"[1524096000000, 517.3740431959737]","[1524096000000, 51170694522.39032]","[1524096000000, 827471474.463687]"
"[1524182400000, 566.3920838512778]","[1524182400000, 56030501148.69197]","[1524182400000, 1223410365.7024539]"
"[1524268800000, 590.27192246768]","[1524268800000, 58403874540.99289]","[1524268800000, 1477100076.3424082]"
"[1524355200000, 600.2596767733208]","[1524355200000, 59405441433.091866]","[1524355200000, 1412079787.2669172]"
"[1524441600000, 617.2024078855728]","[1524441600000, 61094825885.43238]","[1524441600000, 1226887273.8293471]"
"[1524528000000, 636.3671638965957]","[1524528000000, 63004894796.41469]","[1524528000000, 1175262573.641298]"
"[1524614400000, 705.0276448443027]","[1524614400000, 69817174451.75433]","[1524614400000, 2013232706.0861015]"
"[1524700800000, 613.7267252906634]","[1524700800000, 60788471582.80268]","[1524700800000, 2772144667.1931686]"
"[1524787200000, 657.0577934851548]","[1524787200000, 65093958669.996185]","[1524787200000, 1616604527.0569918]"
"[1524873600000, 641.9936056225328]","[1524873600000, 63614677083.81106]","[1524873600000, 1327872538.0128767]"
"[1524960000000, 672.5969368274542]","[1524960000000, 66660769651.39336]","[1524960000000, 1170961463.496074]"
"[1525046400000, 680.1204953886593]","[1525046400000, 67420561666.31582]","[1525046400000, 1180427164.5645165]"
"[1525132800000, 662.732735837356]","[1525132800000, 65710538602.21053]","[1525132800000, 1271088003.6155422]"
"[1525219200000, 665.2257861413076]","[1525219200000, 65971279396.12401]","[1525219200000, 1342793449.0474029]"
"[1525305600000, 676.5525639388837]","[1525305600000, 67108704081.6629]","[1525305600000, 1153897333.4141612]"
"[1525392000000, 781.4257804747286]","[1525392000000, 77526578541.87308]","[1525392000000, 1005515083.8603067]"
"[1525478400000, 777.9076470179848]","[1525478400000, 77194381804.21214]","[1525478400000, 1967182623.5957444]"
"[1525564800000, 807.0673291637275]","[1525564800000, 80104681672.56717]","[1525564800000, 1617671981.240539]"
"[1525651200000, 785.89274351052]","[1525651200000, 78019321356.67586]","[1525651200000, 1742487117.419987]"
"[1525737600000, 748.8131413938073]","[1525737600000, 74353698902.32837]","[1525737600000, 2808727749.1170845]"
"[1525824000000, 744.3248257193555]","[1525824000000, 73923190963.45912]","[1525824000000, 1562833107.5547128]"
"[1525910400000, 743.6398157399032]","[1525910400000, 73870430059.20319]","[1525910400000, 1517875906.0296729]"
"[1525996800000, 717.4128743633592]","[1525996800000, 71279821648.68193]","[1525996800000, 1329169267.9922028]"
"[1526083200000, 675.2917525022057]","[1526083200000, 67108755487.4065]","[1526083200000, 1867453050.653334]"
"[1526169600000, 683.1702676131072]","[1526169600000, 67905759626.548164]","[1526169600000, 1574237121.080983]"
"[1526256000000, 726.8719105255797]","[1526256000000, 72264507767.86824]","[1526256000000, 1358354339.8603525]"
"[1526342400000, 727.8026816427881]","[1526342400000, 72371889345.97685]","[1526342400000, 1747256249.2920547]"
"[1526428800000, 703.1556814584169]","[1526428800000, 69935482264.3191]","[1526428800000, 1318045201.5495617]"
"[1526515200000, 702.4531187046043]","[1526515200000, 69879914021.89139]","[1526515200000, 1283393781.5952938]"
"[1526601600000, 665.6275313370153]","[1526601600000, 66230317444.47082]","[1526601600000, 1148132528.5857544]"
"[1526688000000, 686.2132687257347]","[1526688000000, 68292780311.34642]","[1526688000000, 1140013811.1318896]"
"[1526774400000, 685.8467539789947]","[1526774400000, 68270520548.85238]","[1526774400000, 955540974.5773942]"
"[1526860800000, 703.8146666492306]","[1526860800000, 70073661062.42535]","[1526860800000, 964430375.9997903]"
"[1526947200000, 688.9132212295281]","[1526947200000, 68604235449.74915]","[1526947200000, 914750523.9094018]"
"[1527033600000, 641.1003511423173]","[1527033600000, 63856048464.81863]","[1527033600000, 1134342772.6066892]"
"[1527120000000, 581.2411880572671]","[1527120000000, 57906139337.23845]","[1527120000000, 1636502158.2149532]"
"[1527206400000, 597.848771866914]","[1527206400000, 59572815257.15423]","[1527206400000, 1578836653.594426]"
"[1527292800000, 582.2793862832264]","[1527292800000, 58033414970.12175]","[1527292800000, 1130488777.7931898]"
"[1527379200000, 580.4834597869499]","[1527379200000, 57866488201.56909]","[1527379200000, 793211715.4555622]"
"[1527465600000, 565.9260648024518]","[1527465600000, 56426783298.552086]","[1527465600000, 936703218.9329598]"
"[1527552000000, 511.61588041076885]","[1527552000000, 51022311776.744835]","[1527552000000, 1349222685.5995286]"
"[1527638400000, 561.7406614509548]","[1527638400000, 56032720818.86429]","[1527638400000, 1304128810.668677]"
"[1527724800000, 555.3491509790109]","[1527724800000, 55406697681.99651]","[1527724800000, 1076970536.7091825]"
"[1527811200000, 571.7271134994469]","[1527811200000, 57052511798.36029]","[1527811200000, 1016848280.1956758]"
"[1527897600000, 573.8335504842785]","[1527897600000, 57274516594.26361]","[1527897600000, 988913896.7405567]"
"[1527984000000, 583.1316392150303]","[1527984000000, 58214660996.41215]","[1527984000000, 917573393.7371987]"
"[1528070400000, 609.2946747342367]","[1528070400000, 60839012156.67801]","[1528070400000, 960786811.8699535]"
"[1528156800000, 586.5759760467295]","[1528156800000, 58582699275.82673]","[1528156800000, 998788030.4591345]"
"[1528243200000, 600.6782790386933]","[1528243200000, 60003382388.410774]","[1528243200000, 981693246.7757119]"
"[1528329600000, 598.2160984640701]","[1528329600000, 59769818240.26592]","[1528329600000, 883508366.7942146]"
"[1528416000000, 595.1261406729993]","[1528416000000, 59473431631.17932]","[1528416000000, 987621968.4491141]"
"[1528502400000, 590.4981451663734]","[1528502400000, 59023188216.61767]","[1528502400000, 774931924.148761]"
"[1528588800000, 581.1212496803587]","[1528588800000, 58097979895.17439]","[1528588800000, 704024660.4544114]"
"[1528675200000, 522.9980386707371]","[1528675200000, 52297773130.593605]","[1528675200000, 1323637042.9511685]"
"[1528761600000, 529.1308297528115]","[1528761600000, 52922017100.80877]","[1528761600000, 1163129332.5094237]"
"[1528848000000, 495.0763558611063]","[1528848000000, 49526210494.67609]","[1528848000000, 1183551767.9992313]"
"[1528934400000, 474.85911303649493]","[1528934400000, 47513487722.27301]","[1528934400000, 1330197064.145758]"
"[1529020800000, 516.6441703707438]","[1529020800000, 51705041671.85295]","[1529020800000, 1634517037.5387144]"
"[1529107200000, 485.4328365159148]","[1529107200000, 48591417578.37274]","[1529107200000, 1129671619.800608]"
"[1529193600000, 493.0678580653148]","[1529193600000, 49365820389.2502]","[1529193600000, 732126705.7704039]"
"[1529280000000, 491.40027597923427]","[1529280000000, 49208886719.57955]","[1529280000000, 675191594.9936471]"
"[1529366400000, 512.4288524669856]","[1529366400000, 51325180407.15406]","[1529366400000, 861532499.7213074]"
"[1529452800000, 532.0039133610575]","[1529452800000, 53296770078.92655]","[1529452800000, 1047558826.1450363]"
"[1529539200000, 529.7630465685196]","[1529539200000, 53083203703.900185]","[1529539200000, 983081480.6999408]"
"[1529625600000, 520.6671645141439]","[1529625600000, 52182383816.74685]","[1529625600000, 901042405.2653681]"
"[1529712000000, 463.94082865220423]","[1529712000000, 46506729655.2268]","[1529712000000, 1473054828.325441]"
"[1529798400000, 472.9772647615346]","[1529798400000, 47422371814.92663]","[1529798400000, 1088716168.438927]"
"[1529884800000, 455.71843063066746]","[1529884800000, 45701228403.58992]","[1529884800000, 1813906376.293752]"
"[1529971200000, 458.9258012406738]","[1529971200000, 46032293630.19799]","[1529971200000, 3935188498.9796495]"
"[1530057600000, 430.60178441047594]","[1530057600000, 43200150825.554535]","[1530057600000, 3145279252.081028]"
"[1530144000000, 437.8765374730084]","[1530144000000, 43938995892.49492]","[1530144000000, 1459598903.6298532]"
"[1530230400000, 420.86212416397933]","[1530230400000, 42240235077.69152]","[1530230400000, 1247515217.4657764]"
"[1530316800000, 432.50722049091496]","[1530316800000, 43417851340.14835]","[1530316800000, 1274641927.2798553]"
"[1530403200000, 449.43004507185094]","[1530403200000, 45125931776.53015]","[1530403200000, 1242421813.7124994]"
"[1530489600000, 447.6805505735615]","[1530489600000, 44959418542.5589]","[1530489600000, 1389903375.1050892]"
"[1530576000000, 472.31165843777023]","[1530576000000, 47442809332.14308]","[1530576000000, 1756088768.4057357]"
"[1530662400000, 459.6987235407423]","[1530662400000, 46185301814.019936]","[1530662400000, 1747988600.5163236]"
"[1530748800000, 463.22220830490755]","[1530748800000, 46548745985.99023]","[1530748800000, 1569050880.151065]"
"[1530835200000, 466.87948010075564]","[1530835200000, 46925838686.869354]","[1530835200000, 1727252653.8580823]"
"[1530921600000, 467.5901144927255]","[1530921600000, 47006819801.91246]","[1530921600000, 1573448525.1336815]"
"[1531008000000, 481.523823511904]","[1531008000000, 48417457589.09996]","[1531008000000, 1498055824.3153505]"
"[1531094400000, 483.8040307751051]","[1531094400000, 48656609005.5521]","[1531094400000, 1475654563.4116213]"
"[1531180800000, 469.7022293732207]","[1531180800000, 47248080178.500404]","[1531180800000, 1637687610.915009]"
"[1531267200000, 431.76445446277353]","[1531267200000, 43440645610.1465]","[1531267200000, 1785960365.2391424]"
"[1531353600000, 443.0254304264658]","[1531353600000, 44582775234.01637]","[1531353600000, 1290310142.3535857]"
"[1531440000000, 427.79224436391297]","[1531440000000, 43058583252.44312]","[1531440000000, 1431811643.4801674]"
"[1531526400000, 431.266939712935]","[1531526400000, 43417089532.37335]","[1531526400000, 1446717925.4764767]"
"[1531612800000, 431.78456841825795]","[1531612800000, 43478040808.58002]","[1531612800000, 1123965513.5737858]"
"[1531699200000, 446.60952086822346]","[1531699200000, 44980010137.45454]","[1531699200000, 1144805112.5639584]"
"[1531785600000, 478.20850696097756]","[1531785600000, 48172237051.237144]","[1531785600000, 2202047226.057058]"
"[1531872000000, 497.1775460849197]","[1531872000000, 50093375646.64564]","[1531872000000, 1948063360.783312]"
"[1531958400000, 475.9901579076109]","[1531958400000, 47968300051.31038]","[1531958400000, 1914258994.0043561]"
"[1532044800000, 464.78994267592014]","[1532044800000, 46849108851.47914]","[1532044800000, 1540257887.5019171]"
"[1532131200000, 447.2032909319223]","[1532131200000, 45085461873.32423]","[1532131200000, 1657375888.3844986]"
"[1532217600000, 458.0790283587359]","[1532217600000, 46191354520.09791]","[1532217600000, 1274976611.9245467]"
"[1532304000000, 455.5332019326154]","[1532304000000, 45944085755.28768]","[1532304000000, 1171779230.1386185]"
"[1532390400000, 447.92137912561867]","[1532390400000, 45185546979.493904]","[1532390400000, 1376984398.4663281]"
"[1532476800000, 477.2092716797165]","[1532476800000, 48149869331.10582]","[1532476800000, 1761639225.2861466]"
"[1532563200000, 468.73749232171497]","[1532563200000, 47304793330.43528]","[1532563200000, 1567839914.2626874]"
"[1532649600000, 460.8693339260698]","[1532649600000, 46520159725.86072]","[1532649600000, 1425778759.9011617]"
"[1532736000000, 467.9579265520383]","[1532736000000, 47245239452.64461]","[1532736000000, 1318960361.3308747]"
"[1532822400000, 465.8991552657435]","[1532822400000, 47046915978.43651]","[1532822400000, 15896613818.38507]"
"[1532908800000, 466.41922911559277]","[1532908800000, 47108994325.494484]","[1532908800000, 8096703017.25451]"
"[1532995200000, 458.080921209812]","[1532995200000, 46276223652.12072]","[1532995200000, 1658111274.2681992]"
"[1533081600000, 432.3501179219696]","[1533081600000, 43685748084.88833]","[1533081600000, 1576813468.9990995]"
"[1533168000000, 417.27540676628155]","[1533168000000, 42171077988.81626]","[1533168000000, 5779965392.271022]"
"[1533254400000, 410.9251331069581]","[1533254400000, 41537743616.40968]","[1533254400000, 2616667154.5040126]"
"[1533340800000, 417.35539322792266]","[1533340800000, 42196294616.106125]","[1533340800000, 2104388036.4109633]"
"[1533427200000, 406.8839911959127]","[1533427200000, 41145986285.06191]","[1533427200000, 1809713052.7134383]"
"[1533513600000, 409.16493540460897]","[1533513600000, 41385054072.208534]","[1533513600000, 2106705188.799999]"
"[1533600000000, 404.81719789129863]","[1533600000000, 40953537749.75725]","[1533600000000, 2315454592.965536]"
"[1533686400000, 377.75090114785144]","[1533686400000, 38223074883.08225]","[1533686400000, 1851482817.3237607]"
"[1533772800000, 353.6461229266765]","[1533772800000, 35791291191.22547]","[1533772800000, 1935897432.9447079]"
"[1533859200000, 363.6851798621928]","[1533859200000, 36814735141.44988]","[1533859200000, 2317855524.1517854]"
"[1533945600000, 332.49243311549486]","[1533945600000, 33664024161.54582]","[1533945600000, 2027472927.1744547]"
"[1534032000000, 317.3144774285816]","[1534032000000, 32133841450.27239]","[1534032000000, 2371854614.6728854]"
"[1534118400000, 317.9561130787788]","[1534118400000, 32205233601.695885]","[1534118400000, 2055561310.2074306]"
"[1534204800000, 284.9586646577589]","[1534204800000, 28868747042.36861]","[1534204800000, 2305624514.7211037]"
"[1534291200000, 277.7460166184284]","[1534291200000, 28143782821.250084]","[1534291200000, 3134794913.6870646]"
"[1534377600000, 281.1411931356025]","[1534377600000, 28457713331.487896]","[1534377600000, 2818580241.5689964]"
"[1534464000000, 286.3202214369417]","[1534464000000, 29013771356.624912]","[1534464000000, 2409323174.6488853]"
"[1534550400000, 314.79325272659554]","[1534550400000, 31900584937.308926]","[1534550400000, 2930409554.8592534]"
"[1534636800000, 293.17699177790365]","[1534636800000, 29731648689.35023]","[1534636800000, 2806352498.6709337]"
"[1534723200000, 299.4351225630472]","[1534723200000, 30373462667.100254]","[1534723200000, 2503896967.514467]"
"[1534809600000, 271.06155217805997]","[1534809600000, 27502092651.06376]","[1534809600000, 2209797060.591189]"
"[1534896000000, 280.3747171450871]","[1534896000000, 28451639052.689304]","[1534896000000, 2099627671.6781328]"
"[1534982400000, 269.2483994291051]","[1534982400000, 27322879481.120026]","[1534982400000, 2312267790.5229416]"
"[1535068800000, 275.80838507029057]","[1535068800000, 27993194187.78576]","[1535068800000, 2099144009.1521382]"
"[1535155200000, 281.7346420014112]","[1535155200000, 28606495007.326126]","[1535155200000, 2215723321.9649477]"
"[1535241600000, 277.96671056981506]","[1535241600000, 28227624888.171623]","[1535241600000, 1727946125.1412983]"
"[1535328000000, 273.50341418810274]","[1535328000000, 27764964383.52451]","[1535328000000, 1905358200.9155493]"
"[1535414400000, 286.9611037603499]","[1535414400000, 29048911774.353527]","[1535414400000, 2157563439.765662]"
"[1535500800000, 296.29612763685776]","[1535500800000, 30108250592.80309]","[1535500800000, 2548394710.003952]"
"[1535587200000, 288.5053605724647]","[1535587200000, 29316888089.791355]","[1535587200000, 2536785879.3731794]"
"[1535673600000, 285.1028726269231]","[1535673600000, 28983027590.772324]","[1535673600000, 2491159403.542024]"
"[1535760000000, 282.22317870221497]","[1535760000000, 28697700432.171036]","[1535760000000, 2200676475.6614757]"
"[1535846400000, 295.6461617616964]","[1535846400000, 30072245775.768417]","[1535846400000, 2591135538.1810236]"
"[1535932800000, 294.5856884801363]","[1535932800000, 29960438166.83158]","[1535932800000, 2297225428.9853034]"
"[1536019200000, 288.85282563770716]","[1536019200000, 29383711204.563396]","[1536019200000, 2057722570.6458614]"
"[1536105600000, 285.4857566471215]","[1536105600000, 29050036562.782276]","[1536105600000, 2979570499.016402]"
"[1536192000000, 232.59576871683151]","[1536192000000, 23699297868.898872]","[1536192000000, 4099897499.876869]"
"[1536278400000, 229.37495804862965]","[1536278400000, 23333059272.415604]","[1536278400000, 2701061396.205367]"
"[1536364800000, 215.43223745188737]","[1536364800000, 21937448595.359604]","[1536364800000, 2789431368.228549]"
"[1536451200000, 196.8653868522827]","[1536451200000, 20053781147.975986]","[1536451200000, 2540332938.5796466]"
"[1536537600000, 195.87733831990175]","[1536537600000, 19952064720.055923]","[1536537600000, 3175761389.4267607]"
"[1536624000000, 196.3615326706261]","[1536624000000, 19995395751.499054]","[1536624000000, 2491788678.425953]"
"[1536710400000, 184.08223182704117]","[1536710400000, 18758112117.52692]","[1536710400000, 2596452765.8883944]"
"[1536796800000, 182.94557625329006]","[1536796800000, 18646346738.68822]","[1536796800000, 2604494814.9428654]"
"[1536883200000, 211.82672748652598]","[1536883200000, 21593950253.338764]","[1536883200000, 3501498582.9411836]"
"[1536969600000, 211.3835617204549]","[1536969600000, 21564238470.858032]","[1536969600000, 3131560545.2123165]"
"[1537056000000, 223.05308230390335]","[1537056000000, 22752839429.228737]","[1537056000000, 2852106466.4745975]"
"[1537142400000, 220.1415794346937]","[1537142400000, 22455303413.059746]","[1537142400000, 2369163812.379939]"
"[1537228800000, 196.5766097002653]","[1537228800000, 20051344766.00986]","[1537228800000, 2973745225.343125]"
"[1537315200000, 210.15069647518163]","[1537315200000, 21444053203.54171]","[1537315200000, 2669510295.5159802]"
"[1537401600000, 209.1425267776257]","[1537401600000, 21345953864.748203]","[1537401600000, 2532964971.008765]"
"[1537488000000, 224.38097767293752]","[1537488000000, 22905841034.88813]","[1537488000000, 2506415802.825286]"
"[1537574400000, 247.41001789452824]","[1537574400000, 25265891712.53375]","[1537574400000, 3224898332.902585]"
"[1537660800000, 241.8437317592413]","[1537660800000, 24698456681.437977]","[1537660800000, 2253360127.7800627]"
"[1537747200000, 244.7847954629194]","[1537747200000, 25008142946.45999]","[1537747200000, 2228170858.2763815]"
"[1537833600000, 228.34091150907454]","[1537833600000, 23326983438.531864]","[1537833600000, 2153893196.3090963]"
"[1537920000000, 219.50434375691938]","[1537920000000, 22430430093.888412]","[1537920000000, 4690848657.831447]"
"[1538006400000, 214.9793802543281]","[1538006400000, 21996083267.123955]","[1538006400000, 2266901693.2743306]"
"[1538092800000, 229.22195926025518]","[1538092800000, 23427304227.532307]","[1538092800000, 2324850663.3816543]"
"[1538179200000, 222.229239761749]","[1538179200000, 22728786275.759216]","[1538179200000, 1941656837.4249225]"
"[1538265600000, 231.73587329828854]","[1538265600000, 23704835590.94445]","[1538265600000, 2157048771.9024014]"
"[1538352000000, 232.78138524562493]","[1538352000000, 23810956054.875587]","[1538352000000, 1696510081.8875268]"
"[1538438400000, 231.1436846227436]","[1538438400000, 23660128684.62694]","[1538438400000, 1380169412.0950716]"
"[1538524800000, 225.79485382934473]","[1538524800000, 23102075847.08329]","[1538524800000, 1289588248.9376829]"
"[1538611200000, 220.47446029228064]","[1538611200000, 22578266460.225845]","[1538611200000, 1484341832.0366879]"
"[1538697600000, 222.19584779064576]","[1538697600000, 22746296668.385403]","[1538697600000, 1299403541.2219515]"
"[1538784000000, 228.03607024893918]","[1538784000000, 23346587563.266563]","[1538784000000, 1343329878.055222]"
"[1538870400000, 225.06880731767052]","[1538870400000, 23047878586.785908]","[1538870400000, 1289880374.6702132]"
"[1538956800000, 225.65834864130284]","[1538956800000, 23108155611.30217]","[1538956800000, 1219257804.378523]"
"[1539043200000, 229.52461502629828]","[1539043200000, 23515310563.890266]","[1539043200000, 1307100279.2014499]"
"[1539129600000, 227.9689077917784]","[1539129600000, 23360773268.500908]","[1539129600000, 1144035692.1601665]"
"[1539216000000, 225.66201617746165]","[1539216000000, 23136932206.46423]","[1539216000000, 1221609498.330973]"
"[1539302400000, 192.0010841477226]","[1539302400000, 19696329362.922806]","[1539302400000, 1985897938.5728974]"
"[1539388800000, 197.06801594741614]","[1539388800000, 20205253420.305264]","[1539388800000, 1432531941.2853491]"
"[1539475200000, 201.05349968429928]","[1539475200000, 20618468437.571827]","[1539475200000, 1075912682.4856188]"
"[1539561600000, 196.3186984116144]","[1539561600000, 20154043106.326366]","[1539561600000, 1120326805.1559036]"
"[1539648000000, 212.2030694387269]","[1539648000000, 21758441436.75235]","[1539648000000, 3003242429.5916]"
"[1539734400000, 212.4442865474299]","[1539734400000, 21797843239.523815]","[1539734400000, 1278234751.758753]"
"[1539820800000, 211.08269302502703]","[1539820800000, 21665771379.758472]","[1539820800000, 1230898825.0612144]"
"[1539907200000, 204.31304892929978]","[1539907200000, 20978898040.00994]","[1539907200000, 1267340948.4957962]"
"[1539993600000, 203.97626253061992]","[1539993600000, 20944981899.996338]","[1539993600000, 1230724742.5840461]"
"[1540080000000, 206.88209866230514]","[1540080000000, 21245961049.679523]","[1540080000000, 1154390188.6976511]"
"[1540166400000, 206.30982679591034]","[1540166400000, 21194118735.35679]","[1540166400000, 1070945888.3231828]"
"[1540252800000, 205.03775490876436]","[1540252800000, 21065455939.758324]","[1540252800000, 1242296100.6213374]"
"[1540339200000, 204.08394558056767]","[1540339200000, 20971271070.992756]","[1540339200000, 1232758658.0737]"
"[1540425600000, 203.52219877380867]","[1540425600000, 20915202600.824116]","[1540425600000, 1220612744.1480913]"
"[1540512000000, 202.35302275695466]","[1540512000000, 20806627800.42047]","[1540512000000, 1165395713.6574717]"
"[1540598400000, 203.38496856526396]","[1540598400000, 20912618603.71542]","[1540598400000, 1294283606.8483193]"
"[1540684800000, 203.18739632422128]","[1540684800000, 20895701368.92201]","[1540684800000, 1055337328.7702934]"
"[1540771200000, 204.7223407022085]","[1540771200000, 21050011679.152504]","[1540771200000, 1039726472.1950811]"
"[1540857600000, 195.7514045211852]","[1540857600000, 20141044164.60023]","[1540857600000, 1525796041.9084504]"
"[1540944000000, 197.44844958499]","[1540944000000, 20319037427.370758]","[1540944000000, 977416380.6935779]"
"[1541030400000, 198.6390488336609]","[1541030400000, 20443374890.788353]","[1541030400000, 1270047763.0015414]"
"[1541116800000, 199.1226070207313]","[1541116800000, 20504797883.626476]","[1541116800000, 1320296639.6714208]"
"[1541203200000, 202.28275716666218]","[1541203200000, 20827898393.480133]","[1541203200000, 1261558842.1750631]"
"[1541289600000, 200.13622776255878]","[1541289600000, 20607885132.10309]","[1541289600000, 1031402141.4720232]"
"[1541376000000, 206.8144295995958]","[1541376000000, 21305283379.90364]","[1541376000000, 1796786475.6827538]"
"[1541462400000, 209.10887661978714]","[1541462400000, 21542826214.062332]","[1541462400000, 1497004600.6516602]"
"[1541548800000, 219.16088708430863]","[1541548800000, 22564364808.51298]","[1541548800000, 1767914756.9357538]"
"[1541635200000, 219.0157747507676]","[1541635200000, 22526589761.074043]","[1541635200000, 1482170343.362153]"
"[1541721600000, 213.40763439234544]","[1541721600000, 22014228200.633472]","[1541721600000, 1330922735.7940972]"
"[1541808000000, 210.79061959752252]","[1541808000000, 21743426340.7329]","[1541808000000, 1088745373.4360032]"
"[1541894400000, 212.9658278769949]","[1541894400000, 21899054776.88674]","[1541894400000, 1068409319.3349147]"
"[1541980800000, 212.4733247441558]","[1541980800000, 21915333222.812687]","[1541980800000, 1300514887.7948813]"
"[1542067200000, 211.65690924875202]","[1542067200000, 21835416808.274967]","[1542067200000, 1282532597.6221092]"
"[1542153600000, 208.58229647385883]","[1542153600000, 21526572966.38387]","[1542153600000, 1395382434.391138]"
"[1542240000000, 184.02255937246562]","[1542240000000, 18991988237.013927]","[1542240000000, 2658768934.172415]"
"[1542326400000, 182.448242594831]","[1542326400000, 18833157524.209366]","[1542326400000, 2461869578.310328]"
"[1542412800000, 176.02240566453227]","[1542412800000, 18173414086.234]","[1542412800000, 1724796640.6795118]"
"[1542499200000, 175.6674163561008]","[1542499200000, 18140877471.665012]","[1542499200000, 1412767953.2110136]"
"[1542585600000, 177.72868960741215]","[1542585600000, 18355720231.296604]","[1542585600000, 1419370369.0170794]"
"[1542672000000, 150.39116276572497]","[1542672000000, 15568477359.93989]","[1542672000000, 2804845847.3432374]"
"[1542758400000, 131.476679735108]","[1542758400000, 13480873430.564436]","[1542758400000, 3210253186.2157793]"
"[1542844800000, 137.1730431934016]","[1542844800000, 14199281074.8261]","[1542844800000, 2864570364.233047]"
"[1542931200000, 126.06638760845392]","[1542931200000, 13145643371.545767]","[1542931200000, 1749233437.3121877]"
"[1543017600000, 124.15029635415753]","[1543017600000, 12835445196.81356]","[1543017600000, 1739142608.9564946]"
"[1543104000000, 114.28793125942474]","[1543104000000, 11817983686.122585]","[1543104000000, 1678866535.7412324]"
"[1543190400000, 117.52527750634898]","[1543190400000, 12164898237.895905]","[1543190400000, 2438195895.932367]"
"[1543276800000, 109.43098854688948]","[1543276800000, 11351812370.701126]","[1543276800000, 1897018311.0723217]"
"[1543363200000, 110.43494358866081]","[1543363200000, 11441393467.752829]","[1543363200000, 1997220602.5212777]"
"[1543449600000, 122.44642499081692]","[1543449600000, 12659773332.697258]","[1543449600000, 2140930653.1883004]"
"[1543536000000, 117.70538590366436]","[1543536000000, 12182154959.33421]","[1543536000000, 1607356549.8743916]"
"[1543622400000, 113.4028831522645]","[1543622400000, 11708062196.90978]","[1543622400000, 1719140725.5823185]"
"[1543708800000, 118.10075903673732]","[1543708800000, 12257640966.96176]","[1543708800000, 1471310196.1165853]"
"[1543795200000, 115.94428273243844]","[1543795200000, 11998542053.561508]","[1543795200000, 1311180616.0078957]"
"[1543881600000, 108.67684762425776]","[1543881600000, 11252886409.15223]","[1543881600000, 1272979823.5054636]"
"[1543968000000, 109.85191500097886]","[1543968000000, 11368927707.526571]","[1543968000000, 1334764925.9641466]"
"[1544054400000, 102.51104175852288]","[1544054400000, 10626501697.030668]","[1544054400000, 1338392608.1239889]"
"[1544140800000, 91.10115845588969]","[1544140800000, 9411545128.787203]","[1544140800000, 1619374013.0384092]"
"[1544227200000, 92.96795017189604]","[1544227200000, 9610584223.413237]","[1544227200000, 2504222326.1841803]"
"[1544313600000, 90.67825609691094]","[1544313600000, 9437707619.370005]","[1544313600000, 1807021801.6527622]"
"[1544400000000, 93.53012682199429]","[1544400000000, 9708220956.92728]","[1544400000000, 1591278001.7639914]"
"[1544486400000, 89.85371730794834]","[1544486400000, 9323959135.591385]","[1544486400000, 1295907311.516668]"
"[1544572800000, 87.85041070425926]","[1544572800000, 9111391456.283594]","[1544572800000, 1392270657.2968814]"
"[1544659200000, 89.37790161622951]","[1544659200000, 9261188928.81479]","[1544659200000, 1232429721.5102735]"
"[1544745600000, 85.95872706359158]","[1544745600000, 8913719805.958307]","[1544745600000, 1269694470.9247181]"
"[1544832000000, 83.78596235654511]","[1544832000000, 8696897485.61424]","[1544832000000, 1325123179.3098264]"
"[1544918400000, 83.8335821320138]","[1544918400000, 8697750641.337017]","[1544918400000, 1109693017.2554052]"
"[1545004800000, 84.46584639727314]","[1545004800000, 8803144021.88444]","[1545004800000, 1198587935.4117327]"
"[1545091200000, 94.07306838255042]","[1545091200000, 9769901072.309902]","[1545091200000, 1696264039.588314]"
"[1545177600000, 100.05002539321067]","[1545177600000, 10392925527.200373]","[1545177600000, 1751770011.1099293]"
